44128, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.852  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1262]: n_dims = 1, name = a.blk.8.attn_k.input_min, tensor_size=4, offset=2973644160, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1291]: n_dims = 1, name = a.blk.9.ffn_down.output_max, tensor_size=4, offset=3000908320, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1292]: n_dims = 1, name = a.blk.9.ffn_down.output_min, tensor_size=4, offset=3000908352, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1293]: n_dims = 1, name = a.blk.9.ffn_post_norm.weight, tensor_size=4096, offset=3000908384, shape:[1024, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1294]: n_dims = 1, name = a.blk.9.ffn_norm.weight, tensor_size=4096, offset=3000912480, shape:[1024, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1295]: n_dims = 1, name = a.blk.9.ffn_up_1.input_max, tensor_size=4, offset=3000916576, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1296]: n_dims = 1, name = a.blk.9.ffn_up_1.input_min, tensor_size=4, offset=3000916608, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1297]: n_dims = 2, name = a.blk.9.ffn_up_1.weight, tensor_size=8388608, offset=3000916640, shape:[1024, 4096, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1298]: n_dims = 1, name = a.blk.9.ffn_up_1.output_max, tensor_size=4, offset=3009305248, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1299]: n_dims = 1, name = a.blk.9.ffn_up_1.output_min, tensor_size=4, offset=3009305280, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1300]: n_dims = 1, name = a.blk.9.ffn_down_1.input_max, tensor_size=4, offset=3009305312, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1301]: n_dims = 1, name = a.blk.9.ffn_down_1.input_min, tensor_size=4, offset=3009305344, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1302]: n_dims = 2, name = a.blk.9.ffn_down_1.weight, tensor_size=8388608, offset=3009305376, shape:[4096, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1303]: n_dims = 1, name = a.blk.9.ffn_down_1.output_max, tensor_size=4, offset=3017693984, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1304]: n_dims = 1, name = a.blk.9.ffn_down_1.output_min, tensor_size=4, offset=3017694016, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1305]: n_dims = 1, name = a.blk.9.ffn_post_norm_1.weight, tensor_size=4096, offset=3017694048, shape:[1024, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1306]: n_dims = 1, name = a.blk.9.ffn_norm_1.weight, tensor_size=4096, offset=3017698144, shape:[1024, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1307]: n_dims = 1, name = a.blk.9.norm_conv.weight, tensor_size=4096, offset=3017702240, shape:[1024, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1308]: n_dims = 2, name = a.blk.9.conv_dw.weight, tensor_size=20480, offset=3017706336, shape:[5, 1024, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1309]: n_dims = 1, name = a.blk.9.conv_pw2.input_max, tensor_size=4, offset=3017726816, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1310]: n_dims = 1, name = a.blk.9.conv_pw2.input_min, tensor_size=4, offset=3017726848, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1311]: n_dims = 2, name = a.blk.9.conv_pw2.weight, tensor_size=2097152, offset=3017726880, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1312]: n_dims = 1, name = a.blk.9.conv_pw2.output_max, tensor_size=4, offset=3019824032, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1313]: n_dims = 1, name = a.blk.9.conv_pw2.output_min, tensor_size=4, offset=3019824064, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1314]: n_dims = 1, name = a.blk.9.conv_pw1.input_max, tensor_size=4, offset=3019824096, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1315]: n_dims = 1, name = a.blk.9.conv_pw1.input_min, tensor_size=4, offset=3019824128, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1316]: n_dims = 2, name = a.blk.9.conv_pw1.weight, tensor_size=4194304, offset=3019824160, shape:[1024, 2048, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1317]: n_dims = 1, name = a.blk.9.conv_pw1.output_max, tensor_size=4, offset=3024018464, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1318]: n_dims = 1, name = a.blk.9.conv_pw1.output_min, tensor_size=4, offset=3024018496, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1319]: n_dims = 1, name = a.blk.9.conv_norm.weight, tensor_size=4096, offset=3024018528, shape:[1024, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1320]: n_dims = 1, name = a.blk.9.ln2.weight, tensor_size=4096, offset=3024022624, shape:[1024, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1321]: n_dims = 1, name = a.blk.9.attn_post_norm.weight, tensor_size=4096, offset=3024026720, shape:[1024, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1322]: n_dims = 1, name = a.blk.9.attn_pre_norm.weight, tensor_size=4096, offset=3024030816, shape:[1024, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1323]: n_dims = 1, name = a.blk.9.attn_k.input_max, tensor_size=4, offset=3024034912, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1324]: n_dims = 1, name = a.blk.9.attn_k.input_min, tensor_size=4, offset=3024034944, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1325]: n_dims = 2, name = a.blk.9.attn_k.weight, tensor_size=2097152, offset=3024034976, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1326]: n_dims = 1, name = a.blk.9.attn_k.output_max, tensor_size=4, offset=3026132128, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1327]: n_dims = 1, name = a.blk.9.attn_k.output_min, tensor_size=4, offset=3026132160, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1328]: n_dims = 1, name = a.blk.9.per_dim_scale.weight, tensor_size=512, offset=3026132192, shape:[128, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1329]: n_dims = 1, name = a.blk.9.attn_out.input_max, tensor_size=4, offset=3026132704, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1330]: n_dims = 1, name = a.blk.9.attn_out.input_min, tensor_size=4, offset=3026132736, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1331]: n_dims = 2, name = a.blk.9.attn_out.weight, tensor_size=2097152, offset=3026132768, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1332]: n_dims = 1, name = a.blk.9.attn_out.output_max, tensor_size=4, offset=3028229920, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1333]: n_dims = 1, name = a.blk.9.attn_out.output_min, tensor_size=4, offset=3028229952, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1334]: n_dims = 1, name = a.blk.9.attn_q.input_max, tensor_size=4, offset=3028229984, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1335]: n_dims = 1, name = a.blk.9.attn_q.input_min, tensor_size=4, offset=3028230016, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1336]: n_dims = 2, name = a.blk.9.attn_q.weight, tensor_size=2097152, offset=3028230048, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1337]: n_dims = 1, name = a.blk.9.attn_q.output_max, tensor_size=4, offset=3030327200, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1338]: n_dims = 1, name = a.blk.9.attn_q.output_min, tensor_size=4, offset=3030327232, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1339]: n_dims = 2, name = a.blk.9.attn_k_rel.weight, tensor_size=2097152, offset=3030327264, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1340]: n_dims = 1, name = a.blk.9.attn_v.input_max, tensor_size=4, offset=3032424416, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1341]: n_dims = 1, name = a.blk.9.attn_v.input_min, tensor_size=4, offset=3032424448, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1342]: n_dims = 2, name = a.blk.9.attn_v.weight, tensor_size=2097152, offset=3032424480, shape:[1024, 1024, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1343]: n_dims = 1, name = a.blk.9.attn_v.output_max, tensor_size=4, offset=3034521632, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1344]: n_dims = 1, name = a.blk.9.attn_v.output_min, tensor_size=4, offset=3034521664, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1345]: n_dims = 1, name = a.pre_encode.out.bias, tensor_size=6144, offset=3034521696, shape:[1536, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1346]: n_dims = 2, name = a.pre_encode.out.weight, tensor_size=3145728, offset=3034527840, shape:[1024, 1536, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1347]: n_dims = 2, name = a.input_projection.weight, tensor_size=4194304, offset=3037673568, shape:[1024, 1024, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1348]: n_dims = 4, name = a.conv1d.0.weight, tensor_size=4608, offset=3041867872, shape:[3, 3, 1, 128], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1349]: n_dims = 1, name = a.conv1d.0.norm.weight, tensor_size=512, offset=3041872480, shape:[128, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1350]: n_dims = 4, name = a.conv1d.1.weight, tensor_size=147456, offset=3041872992, shape:[3, 3, 128, 32], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1351]: n_dims = 1, name = a.conv1d.1.norm.weight, tensor_size=128, offset=3042020448, shape:[32, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1352]: n_dims = 2, name = mm.a.input_projection.weight, tensor_size=4718592, offset=3042020576, shape:[1536, 1536, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1353]: n_dims = 2, name = mm.input_projection.weight, tensor_size=2359296, offset=3046739168, shape:[768, 1536, 1, 1], type = f16
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1354]: n_dims = 1, name = v.blk.0.ln1.weight, tensor_size=3072, offset=3049098464, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1355]: n_dims = 1, name = v.blk.0.ffn_down.input_max, tensor_size=4, offset=3049101536, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1356]: n_dims = 1, name = v.blk.0.ffn_down.input_min, tensor_size=4, offset=3049101568, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.853  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1357]: n_dims = 2, name = v.blk.0.ffn_down.weight, tensor_size=4718592, offset=3049101600, shape:[3072, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1358]: n_dims = 1, name = v.blk.0.ffn_down.output_max, tensor_size=4, offset=3053820192, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1359]: n_dims = 1, name = v.blk.0.ffn_down.output_min, tensor_size=4, offset=3053820224, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1360]: n_dims = 1, name = v.blk.0.ffn_gate.input_max, tensor_size=4, offset=3053820256, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1361]: n_dims = 1, name = v.blk.0.ffn_gate.input_min, tensor_size=4, offset=3053820288, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1362]: n_dims = 2, name = v.blk.0.ffn_gate.weight, tensor_size=4718592, offset=3053820320, shape:[768, 3072, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1363]: n_dims = 1, name = v.blk.0.ffn_gate.output_max, tensor_size=4, offset=3058538912, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1364]: n_dims = 1, name = v.blk.0.ffn_gate.output_min, tensor_size=4, offset=3058538944, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1365]: n_dims = 1, name = v.blk.0.ffn_up.input_max, tensor_size=4, offset=3058538976, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1366]: n_dims = 1, name = v.blk.0.ffn_up.input_min, tensor_size=4, offset=3058539008, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1367]: n_dims = 2, name = v.blk.0.ffn_up.weight, tensor_size=4718592, offset=3058539040, shape:[768, 3072, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1368]: n_dims = 1, name = v.blk.0.ffn_up.output_max, tensor_size=4, offset=3063257632, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1369]: n_dims = 1, name = v.blk.0.ffn_up.output_min, tensor_size=4, offset=3063257664, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1370]: n_dims = 1, name = v.blk.0.attn_post_norm.weight, tensor_size=3072, offset=3063257696, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1371]: n_dims = 1, name = v.blk.0.ffn_post_norm.weight, tensor_size=3072, offset=3063260768, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1372]: n_dims = 1, name = v.blk.0.ln2.weight, tensor_size=3072, offset=3063263840, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1373]: n_dims = 1, name = v.blk.0.attn_k_norm.weight, tensor_size=256, offset=3063266912, shape:[64, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1374]: n_dims = 1, name = v.blk.0.attn_k.input_max, tensor_size=4, offset=3063267168, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1375]: n_dims = 1, name = v.blk.0.attn_k.input_min, tensor_size=4, offset=3063267200, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1376]: n_dims = 2, name = v.blk.0.attn_k.weight, tensor_size=1179648, offset=3063267232, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1377]: n_dims = 1, name = v.blk.0.attn_k.output_max, tensor_size=4, offset=3064446880, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1378]: n_dims = 1, name = v.blk.0.attn_k.output_min, tensor_size=4, offset=3064446912, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1379]: n_dims = 1, name = v.blk.0.attn_out.input_max, tensor_size=4, offset=3064446944, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1380]: n_dims = 1, name = v.blk.0.attn_out.input_min, tensor_size=4, offset=3064446976, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1381]: n_dims = 2, name = v.blk.0.attn_out.weight, tensor_size=1179648, offset=3064447008, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1382]: n_dims = 1, name = v.blk.0.attn_out.output_max, tensor_size=4, offset=3065626656, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1383]: n_dims = 1, name = v.blk.0.attn_out.output_min, tensor_size=4, offset=3065626688, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1384]: n_dims = 1, name = v.blk.0.attn_q_norm.weight, tensor_size=256, offset=3065626720, shape:[64, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1385]: n_dims = 1, name = v.blk.0.attn_q.input_max, tensor_size=4, offset=3065626976, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1386]: n_dims = 1, name = v.blk.0.attn_q.input_min, tensor_size=4, offset=3065627008, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1387]: n_dims = 2, name = v.blk.0.attn_q.weight, tensor_size=1179648, offset=3065627040, shape:[768, 768, 1, 1], type = f16
