 5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.8.attn_v.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.attn_k.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.attn_v.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.attn_output.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.12.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.attn_output.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.ffn_norm.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.12.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.ffn_gate.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.12.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.ffn_down.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.12.ffn_down.weight (0 MiB q4_K) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.ffn_up.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.12.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.ffn_gate.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.ffn_down.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.12.ffn_up.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.attn_norm.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.13.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.attn_qkv.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.attn_q.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.13.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.attn_k.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.13.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.attn_v.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.13.attn_v.weight (0 MiB q8_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.attn_q.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.attn_k.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.attn_v.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.attn_output.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.13.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.attn_output.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.ffn_norm.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.13.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.ffn_gate.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.13.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.ffn_down.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.13.ffn_down.weight (0 MiB q6_K) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.ffn_up.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.13.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.ffn_gate.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.ffn_down.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.13.ffn_up.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.attn_norm.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.14.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.attn_qkv.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.attn_q.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.14.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.attn_k.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.14.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.attn_v.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.14.attn_v.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.attn_q.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.attn_k.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.attn_v.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.attn_output.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.14.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.attn_output.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.ffn_norm.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.14.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.ffn_gate.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.14.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.ffn_down.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.14.ffn_down.weight (0 MiB q4_K) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.ffn_up.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.14.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.ffn_gate.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.ffn_down.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.14.ffn_up.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.attn_norm.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.15.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.attn_qkv.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.attn_q.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.15.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.attn_k.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.15.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.attn_v.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.15.attn_v.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.attn_q.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.attn_k.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.attn_v.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.attn_output.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.15.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.attn_output.bias
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.ffn_norm.weight
09-16 23:36:37.393  5708  5780 I GGUFNativeStderr: tensor blk.15.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.ffn_gate.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.15.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.ffn_down.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.15.ffn_down.weight (0 MiB q4_K) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.ffn_up.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.15.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.ffn_gate.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.ffn_down.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.15.ffn_up.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.attn_norm.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.16.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.attn_qkv.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.attn_q.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.16.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.attn_k.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.16.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.attn_v.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.16.attn_v.weight (0 MiB q8_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.attn_q.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.attn_k.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.attn_v.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.attn_output.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.16.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.attn_output.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.ffn_norm.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.16.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.ffn_gate.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.16.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.ffn_down.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.16.ffn_down.weight (0 MiB q6_K) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.ffn_up.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.16.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.ffn_gate.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.ffn_down.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.16.ffn_up.bias
